,Title,Employee,Location,type,Expire_date,catogry
59,Medical Documentation Executive (Night Shift) ,MedSource Healthcare LLC,Colombo,Full-Time,24/05/2022 ,bpo-kpo
60,Customer Care Executive ,Ayendra & co.pvt,Colombo,Full-Time,17/05/2022 ,bpo-kpo
61,Customer Care Executive - Out Bound Call Centre,AEGIS Services Lanka,Colombo,Full-Time,17/05/2022 ,bpo-kpo
62,Customer Service Executives – Call Centre - Colombo,Company Name Withheld 520,Colombo,Full-Time,18/05/2022 ,bpo-kpo
63,Customer Care Executive - In Bound Call Centre ,Startek,Colombo,Full-Time,17/05/2022 ,bpo-kpo
64,Customer Care Executive - Wellawatta,AEGIS Services Lanka,Colombo,Full-Time,17/05/2022 ,bpo-kpo
65,Customer Care Executive - Banking Process - Malabe,Startek,Colombo,Full-Time,17/05/2022 ,bpo-kpo
66,Customer Care Executives | Malabe,AEGIS Services Lanka,Colombo,Full-Time,17/05/2022 ,bpo-kpo
67,Customer Care Executive - In Bound Call Centre ,AEGIS Services Lanka,Colombo,Full-Time,17/05/2022 ,bpo-kpo
68,Customer Care Executive - Banking Process - Wellawatta ,Startek,Colombo,Full-Time,17/05/2022 ,bpo-kpo
69,Customer Care Executive - Out Bound Call Centre,Startek,Colombo,Full-Time,17/05/2022 ,bpo-kpo
70,Senior Executive - Recruitment,Accenture Lanka,Colombo,Full-Time,25/05/2022 ,bpo-kpo
71,Call Center Agents,Ceylovox (Pvt) Ltd,Colombo,Full-Time,25/05/2022 ,bpo-kpo
72,Customer Care Executive - Out Bound Call Centre | Wattala,Startek,Gampaha,Full-Time,25/05/2022 ,bpo-kpo
73,Call Center Agent - Malabe,DigiSpan (Private) Limited,Colombo,Full-Time,17/05/2022 ,bpo-kpo
74,Customer Care Executive - Out Bound Call Centre | Wattala,AEGIS Services Lanka,Gampaha,Full-Time,25/05/2022 ,bpo-kpo
75,Service Desk Role,HCL Technologies Lanka (Private) Limited,Colombo,Full-Time,25/05/2022 ,bpo-kpo
76,Call Centre Associate,XGen Group Pvt Ltd,Colombo,Full-Time,25/05/2022 ,bpo-kpo
77,Senior Support Executive ,Premium Support,Colombo,Full-Time,25/05/2022 ,bpo-kpo
78,Customer Care Executive - In Bound Call Centre  | Wattala,Startek,Gampaha,Full-Time,25/05/2022 ,bpo-kpo
79,Call Center Executives,Zeus BPO,Colombo,Full-Time,25/05/2022 ,bpo-kpo
