,Title,Employee,Location,type,Expire_date,catogry
90,Business Development / Sales Executive,CSR eVentures Pvt Ltd,Colombo,Full-Time,24/05/2022 ,media
91,Sales and Marketing Executive - Female,Ceylon Pick Multi Trading (Pvt) Ltd,Colombo,Full-Time,24/05/2022 ,media
92,Sales & Marketing Executives / Managers,Company Name Withheld 516,Colombo,Full-Time,24/05/2022 ,media
93,Graphic Designer,Durdans Hospital,Colombo,Full-Time,24/05/2022 ,media
94,Digital Media Marketer,Salon Zero,Colombo,Full-Time,24/05/2022 ,media
95,Senior Digital Media Executive ,Softlogic Retail (Pvt) Ltd,Colombo,Full-Time,24/05/2022 ,media
96,Senior Executive / Executive - Digital Marketing,Durdans Hospital,Colombo,Full-Time,24/05/2022 ,media
97,Video & Photo Editors ,SmashJ Creative,"WorkingFromHome,I...",Full-Time,24/05/2022 ,media
98,On Air Graphics Producer(Sports Operator),wTVision Solutions Pvt Ltd,Colombo,Full-Time,24/05/2022 ,media
99,Graphic Designer,4axis Solutions (Pvt) Ltd,Colombo,Full-Time,24/05/2022 ,media
100,Digital Architecture – Manager (Solution Architect),EY Global Delivery Services,Colombo,Full-Time,24/05/2022 ,media
101,Client Service Executive (Female),Star Quest Company (Pvt) Ltd ,Colombo,Full-Time,24/05/2022 ,media
102,Content Writer,Digit Web Lanka PVT LTD,Jaffna,Full-Time,24/05/2022 ,media
103,Social Media Coordinator,Digit Web Lanka PVT LTD,Jaffna,Full-Time,24/05/2022 ,media
104,Digital Marketing Executive - Male,Ninehearts,Colombo,Full-Time,24/05/2022 ,media
105,Consulting Digital & Emerging Technologies – .Net ,EY Global Delivery Services,Colombo,Full-Time,24/05/2022 ,media
106,Senior Executive / Executive - Digital Marketing,Abans PLC,Colombo,Full-Time,24/05/2022 ,media
107,Communication Coach,HCL Technologies Lanka (Private) Limited,Colombo,Full-Time,24/05/2022 ,media
108,Trainees Sales and Marketing (Associate) ,KPM Media,Colombo,Full-Time,24/05/2022 ,media
