,Title,Employee,Location,type,Expire_date,catogry
64,Director Line of Business Solutions / Program Manager Line of Business Solutions / Project Manager Line of Business Solutions,ICT Agency of Sri Lanka,Colombo,Full-Time,18/05/2022 ,project-management
65,Project Coordinator ,Weblook International (Pvt) Ltd,Colombo,Full-Time,19/05/2022 ,project-management
66,Project Manager,TalentCorp (Pvt) Ltd,Colombo,Full-Time,18/05/2022 ,project-management
67,Associate - AMS - Assurance,EY Global Delivery Services,Colombo,Full-Time,17/05/2022 ,project-management
68,Senior Business Analyst,Ecologital,Colombo,Full-Time,17/05/2022 ,project-management
69,Pre-Sales Engineer,Cabbage Apps,Colombo,Full-Time,19/05/2022 ,project-management
70,Business Process Manager | AMW | Union Place,Associated Motorways (Pvt) Limited (AMW),Colombo,Full-Time,25/05/2022 ,project-management
71,Software Developer / Senior Software Developer,TBO GROUP,Colombo,Full-Time,25/05/2022 ,project-management
72,Project Manager - New Product and Innovation,Dialog Axiata PLC,Colombo,Full-Time,30/05/2022 ,project-management
73,"Assistant Manager - Cloud, IOT and SaaS Services Solution Engineering",Dialog Axiata PLC,Colombo,Full-Time,30/05/2022 ,project-management
74,Programme Manager / Enterprise Architect / Business Analyst,ICT Agency of Sri Lanka,Colombo,Full-Time,25/05/2022 ,project-management
75,Site Supervisor - Construction,Concordia Investments Pvt Ltd,"Galle,Matara",Full-Time,25/05/2022 ,project-management
76,Manager - Assurance,EY Global Delivery Services,Colombo,Full-Time,17/05/2022 ,project-management
77,Intern - Data Analyst,Dialog Axiata PLC,Colombo,Full-Time,31/05/2022 ,project-management
78,Field Staff - Assistant Monitoring Officers,Company Name Withheld 518,Colombo,Full-Time,25/05/2022 ,project-management
79,Associate Project Manager (Salary Pegged to Euro) ,Aexis Medical Lanka (Pvt) Ltd,Colombo,Full-Time,25/05/2022 ,project-management
