,Title,Employee,Location,type,Expire_date,catogry
58,Business Analyst - ERP ,BLUE LOTUS 360°,Colombo,Full-Time,30/05/2022 ,business-management
59,Branch In Charge (Executive/Senior Executive) - Naula/ Katugastota/ Badulla/ Batticaloa/ Vavuniya/ Mannar/ Jaffna/ Bogawantalawa/ Agarapathana/ Pottuvil/ Bogawantalawa/ Agarapathana/ Wattegama/ Hawaeliya/ Badulla,Asia Asset Finance PLC,"Kandy,Ampara,Badul...",Full-Time,30/05/2022 ,business-management
60,Manager - Client Acquisition,Visual Studios,Colombo,Full-Time,30/05/2022 ,business-management
61,Intern – Marketing,Unilever Sri Lanka,Colombo,Full-Time,30/05/2022 ,business-management
62,Sales Officer - Colombo ,Dialog Finance PLC,Colombo,Full-Time,30/05/2022 ,business-management
63,Manager - Analytics ,Nations Trust Bank,Colombo,Full-Time,30/05/2022 ,business-management
64,Trainee Sales Officers - Western Province,Dialog Finance PLC,"Colombo,Gampaha,Ka...",Full-Time,30/05/2022 ,business-management
65,Junior Executive - Reconciliations,Dialog Finance PLC,Colombo,Full-Time,30/05/2022 ,business-management
66,Trainee Shift Managers | Colombo,Pizza Hut Sri Lanka,Colombo,Full-Time,30/05/2022 ,business-management
67,Contact Centre Manager,S.A.Knowledge Services (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,business-management
68,Senior / Assistant Manager - Assurance,EY Global Delivery Services,Colombo,Full-Time,30/05/2022 ,business-management
69,Management Trainee Programme ,Keells ,Colombo,Full-Time,30/05/2022 ,business-management
70,Senior Retail Sales Associates (Credit Cards) ,HSBC Sri Lanka,Colombo,Full-Time,26/05/2022 ,business-management
71,Sales Executive - Fixed Deposits | AMW Capital Leasing and Finance PLC | Union Place,AMW Capital Leasing & Finance PLC,Colombo,Full-Time,20/05/2022 ,business-management
72,Customer Service Executive (Male/Female),Copreus (Pvt) Ltd,Colombo,Full-Time,19/05/2022 ,business-management
73,Business Units Finance Manager | AMW | Union Place,Associated Motorways (Pvt) Limited (AMW),Colombo,Full-Time,12/06/2022 ,business-management
74,Projects Coordinator - Intern,Magic Labs,Colombo,Full-Time,26/05/2022 ,business-management
75,Investment Analyst ,Helios Ventures,Colombo,Full-Time,20/05/2022 ,business-management
76,Intern - Admin / Operations ,John Keells Office Automation (Pvt) Ltd.,Colombo,Full-Time,19/05/2022 ,business-management
77,Senior Manager - External Growth and Adoption,Dialog Axiata PLC,Colombo,Full-Time,31/05/2022 ,business-management
78,Senior Manager - External Growth and Adoption,Dialog Axiata PLC,Colombo,Full-Time,31/05/2022 ,business-management
