,Title,Employee,Location,type,Expire_date,catogry
239,Software Application Support Engineer (L2 / L3),Ecologital,Colombo,Full-Time,17/05/2022 ,customer-service
240,Sales Representative,Singha Gem Private Limited,Colombo,Full-Time,17/05/2022 ,customer-service
241,Customer Service Assistant (Trainee / Experienced) - CRFC,Softlogic GLOMARK,Colombo,Full-Time,17/05/2022 ,customer-service
242,Customer Service Assistant (Trainee / Experienced) - Thalawathugoda,Softlogic GLOMARK,Colombo,Full-Time,17/05/2022 ,customer-service
243,Secretary ,Maryland Consultancy & Academy Pvt Ltd,Colombo,Full-Time,17/05/2022 ,customer-service
244,Department Executive ,Softlogic GLOMARK,"Colombo,Gampaha,Ku...",Full-Time,17/05/2022 ,customer-service
245,Sales Associate - Retail,Comforton Brands (Pvt) Ltd,Colombo,Full-Time,17/05/2022 ,customer-service
246,Sales Executives - Corporate Sales,Abans PLC,Colombo,Full-Time,17/05/2022 ,customer-service
247,Sales Executive | Kandana,Softlogic Retail (Pvt) Ltd,Colombo,Full-Time,17/05/2022 ,customer-service
248,Trolly Pusher & Baggers - Part Time - CRFC,Softlogic GLOMARK,Colombo,Part-Time,17/05/2022 ,customer-service
249,Trolly Pusher & Baggers - Part Time - Nawala,Softlogic GLOMARK,Colombo,Part-Time,17/05/2022 ,customer-service
250,Customer Care Executive - Wellawatta,AEGIS Services Lanka,Colombo,Full-Time,17/05/2022 ,customer-service
251,Customer Care Executive - In Bound Call Centre ,AEGIS Services Lanka,Colombo,Full-Time,17/05/2022 ,customer-service
252,Customer Care Executive - In Bound Call Centre ,Startek,Colombo,Full-Time,17/05/2022 ,customer-service
253,Sales Executive | Kiribathgoda,Softlogic Retail (Pvt) Ltd,Colombo,Full-Time,17/05/2022 ,customer-service
254,Customer Care Executives | Malabe,AEGIS Services Lanka,Colombo,Full-Time,17/05/2022 ,customer-service
255,Customer Care Executive - Banking Process - Malabe,Startek,Colombo,Full-Time,17/05/2022 ,customer-service
256,Customer Care Executive ,Ayendra & co.pvt,Colombo,Full-Time,17/05/2022 ,customer-service
257,Customer Care Executive - Banking Process - Wellawatta ,Startek,Colombo,Full-Time,17/05/2022 ,customer-service
258,Customer Care Executive - Out Bound Call Centre,AEGIS Services Lanka,Colombo,Full-Time,17/05/2022 ,customer-service
259,Customer Care Executive - Out Bound Call Centre,Startek,Colombo,Full-Time,17/05/2022 ,customer-service
260,මුදල් අයකැමි (පුහුණු) - (කාන්තා / පිරිමි) | දිවයින පුරා,Keells ,IslandWide,Full-Time,17/05/2022 ,customer-service
261,Marketing Executive,Spirit Kitchen,Colombo,Full-Time,25/05/2022 ,customer-service
262,මුදල් අයකැමි (නුපුහුණු) - (කාන්තා / පිරිමි) දිවයින පුරා,Keells ,IslandWide,Full-Time,17/05/2022 ,customer-service
263,පාරිභෝගික සේවා සහායක - (කාන්තා / පිරිමි) | දිවයින පුරා,Keells ,IslandWide,Full-Time,17/05/2022 ,customer-service
264,පාරිභෝගික සේවා සහායක (කාන්තා / පිරිමි),Keells ,Colombo,Full-Time,17/05/2022 ,customer-service
265,Sales Executives | විකුණුම් විධායකයින් ,Sevensigns,Colombo,Full-Time,17/05/2022 ,customer-service
266,Call Center Agent - Malabe,DigiSpan (Private) Limited,Colombo,Full-Time,17/05/2022 ,customer-service
267,Transport Supervisor,John Keells Logistics (Pvt) Ltd,"Colombo,Gampaha",Full-Time,17/05/2022 ,customer-service
268,Sales Officers,Sisili Projects Consortium (Pvt) Ltd,Colombo,Full-Time,20/05/2022 ,customer-service
269, මෙහෙයුම් සේවා සහයක (කාන්තා / පිරිමි) දිවයින පුරා,Keells ,IslandWide,Full-Time,17/05/2022 ,customer-service
270,Call Center Agents,Ceylovox (Pvt) Ltd,Colombo,Full-Time,25/05/2022 ,customer-service
271,Customer Coordinator,Micro Bytech,Colombo,Full-Time,25/05/2022 ,customer-service
272,Senior Support Executive ,Premium Support,Colombo,Full-Time,25/05/2022 ,customer-service
273,Cashier -  මුදල් අයකැමි ,ESStore Moratuwa,Colombo,Full-Time,25/05/2022 ,customer-service
274,Salon Manager - Female | Colombo City Center - රූපලාවණ්‍යාගාර කළමනාකරු - කාන්තා | කොළඹ නගර මධ්‍යස්ථානය,Cheveux Salon,Colombo,Full-Time,25/05/2022 ,customer-service
