,Title,Employee,Location,type,Expire_date,catogry
50,Call Centre Trainees/Assistants,Asia Asset Finance PLC,Colombo,Full-Time,30/05/2022 ,school-leavers
51,Trainee / Assistant (Fixed Deposits Operations),Asia Asset Finance PLC,Colombo,Full-Time,30/05/2022 ,school-leavers
52,Tele Calling Agents (Fixed Term Contract) - Colombo,Nations Trust Bank,Colombo,Contract Basis,30/05/2022 ,school-leavers
53,Front Office Executive,Bellvantage (Pvt) Ltd,Colombo,Full-Time,30/05/2022 ,school-leavers
54,Welder - පෑස්සුම්කරු,Nawaloka Hospitals PLC,Colombo,Full-Time,30/05/2022 ,school-leavers
55,Recovery Officers - Chavankachchery/ Digana/ Moratuwa/ Kurunegala/ Kalutara/ Wennappuwa/ Hatton,Asia Asset Finance PLC,"Colombo,Kandy,Jaff...",Full-Time,30/05/2022 ,school-leavers
56,Gold Loans Pawning Officers - Executive/Assistants,Asia Asset Finance PLC,"Colombo,Galle,Jaff...",Full-Time,30/05/2022 ,school-leavers
57,Executive Customer Care,Bellvantage (Pvt) Ltd,Colombo,Full-Time or Part-Time,30/05/2022 ,school-leavers
58,Trainees - Operations / Finance / Gold Loans,Asia Asset Finance PLC,IslandWide,Full-Time,30/05/2022 ,school-leavers
59,Sales Executive,Visual Studios,Colombo,Full-Time,30/05/2022 ,school-leavers
60,Female Delivery Riders - PickMe Lady,PickMe,"Colombo,Kandy,Gamp...",Full-Time or Part-Time,30/05/2022 ,school-leavers
61,Delivery Riders - Kandy (Male/Female) - Pickme Food,PickMe,Kandy,Full-Time,30/05/2022 ,school-leavers
62,Delivery Riders - Colombo District (Male/Female) - Pickme Food,PickMe,Colombo,Full-Time,30/05/2022 ,school-leavers
63,Delivery Riders - Nugegoda (Male/Female) - Pickme Flash,PickMe,Colombo,Full-Time or Part-Time,30/05/2022 ,school-leavers
64,Delivery Riders - Gampaha (Male/Female) - Pickme Food,PickMe,Gampaha,Full-Time,30/05/2022 ,school-leavers
65,Junior Phlebotomist,Nawaloka Hospitals PLC,Colombo,Full-Time,30/05/2022 ,school-leavers
66,Delivery Riders - Colombo (Male/Female) - Pickme Flash,PickMe,Colombo,Full-Time,30/05/2022 ,school-leavers
67,Staff Nurse,Nawaloka Hospitals PLC,Colombo,Full-Time,30/05/2022 ,school-leavers
68,Delivery Riders - Kurunegala (Male/Female) - Pickme Food,PickMe,Kurunagala,Full-Time,30/05/2022 ,school-leavers
69,Delivery Riders - Gampaha (Male/Female) - Pickme Food,PickMe,Gampaha,Full-Time,30/05/2022 ,school-leavers
70,Delivery Riders - Gampaha (Male/Female) - Pickme Flash,PickMe,Gampaha,Full-Time,30/05/2022 ,school-leavers
